LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID48192,48192,0,1.3861016035079956,44.24543777697707,35.75464547014537,0.0,41.0,41,18.5,1,,251.98491198658843,255.0,0.0,255.0,300618.0,19.695750581097368,0.3893669998105693,7.1709081321447
ID48193,48193,0,1.387396216392517,42.87575957914717,37.30399642440737,0.0,42.0,42,18.5,1,,252.19614417435037,255.0,0.0,255.0,300870.0,18.837215553741785,0.39037777987762035,7.518029091495175
ID48151,48151,0,1.4276412725448608,51.23470931233298,34.828279190486086,0.0,3.0,3,18.5,1,,248.6848281642917,255.0,0.0,255.0,296681.0,30.785596183508183,0.39551814347822817,4.578915626682415
ID48152,48152,0,1.468551516532898,49.32999872201685,33.42846359421731,0.0,6.0,6,18.5,1,,248.5951383067896,255.0,0.0,255.0,296574.0,30.919703484872304,0.41852955623811633,4.744331754334086
ID48153,48153,0,1.425344705581665,51.410836536238364,36.15759465745314,0.0,0.0,0,18.5,1,,252.6227996647108,255.0,73.0,255.0,301379.0,14.803247077398233,0.3952304557927662,9.668297536801427
ID48154,48154,0,1.3883777856826782,49.47810256207732,34.96983796186207,0.0,5.0,5,18.5,1,,249.62782900251466,255.0,0.0,255.0,297806.0,27.848896512742783,0.36952303182756013,4.8371235044247625
ID48155,48155,0,1.4507107734680176,51.788480768849986,36.955376920875636,0.0,1.0,1,18.5,1,,248.6227996647108,255.0,0.0,255.0,296607.0,30.5154853945769,0.40557341815129855,4.701826652961436
ID48156,48156,0,1.4359099864959717,51.73517567361704,35.24960907749878,0.0,2.0,2,18.5,1,,248.55993294216262,255.0,0.0,255.0,296532.0,30.94477063294634,0.4071681619186787,4.648380405803881
ID48157,48157,0,1.408486008644104,48.82653764376497,33.636372948270456,0.0,7.0,7,18.5,1,,247.49203688181055,255.0,0.0,255.0,295258.0,36.08568027297933,0.388667501417531,3.839160647126145
ID48158,48158,0,1.4182538986206055,46.68602443618819,36.34369464603426,0.0,9.0,9,18.5,1,,245.32271584241408,255.0,0.0,255.0,292670.0,39.7033542359381,0.3904115849142183,3.469923335489472
ID48159,48159,0,1.413208246231079,48.80236320646184,35.429141152322735,0.0,8.0,8,18.5,1,,244.89857502095558,255.0,0.0,255.0,292164.0,39.84380922896093,0.38941203575847166,3.4453529247331396
ID48160,48160,0,1.4454400539398193,49.81684396366552,32.23644795357383,0.0,4.0,4,18.5,1,,246.0620284995809,255.0,0.0,255.0,293552.0,37.07922103360529,0.41023884864417953,3.8608960075413012
ID48162,48162,0,1.3896777629852295,47.384837148108,36.058041540783805,0.0,10.0,10,18.5,1,,249.35959765297568,255.0,0.0,255.0,297486.0,27.95812323586048,0.3854274657174923,4.9625733114028305
ID48163,48163,0,1.3807259798049927,48.07191323238398,40.41008307563893,0.0,15.0,15,18.5,1,,248.47191953059513,255.0,0.0,255.0,296427.0,32.06839520295311,0.37728502102845274,4.244981702213787
ID48164,48164,0,1.3980900049209595,47.287458458283204,35.81164693157446,0.0,11.0,11,18.5,1,,252.01341156747694,255.0,36.0,255.0,300652.0,17.26330304604293,0.3792262593510366,8.027727830812259
ID48165,48165,0,1.3726236820220947,47.81029106670661,38.52905597637815,0.0,13.0,13,18.5,1,,248.56077116512992,255.0,36.0,255.0,296533.0,28.43301093472555,0.37489324545995073,4.7673646140558805
ID48166,48166,0,1.4084300994873047,47.51552464790194,41.0362685405616,0.0,16.0,16,18.5,1,,249.5046102263202,255.0,0.0,255.0,297659.0,29.720739158212805,0.38274314191378545,4.647451526302333
ID48167,48167,0,1.4097721576690674,47.6211600462995,39.0084910497181,0.0,14.0,14,18.5,1,,246.75691533948032,255.0,0.0,255.0,294381.0,39.10283192177365,0.38828577240207424,3.529910723015104
ID48168,48168,0,1.4383496046066284,50.58280774375794,39.62226629772671,0.0,19.0,19,18.5,1,,249.476948868399,255.0,0.0,255.0,297626.0,30.648248141985867,0.4009603015626194,4.659403389598913
ID48169,48169,0,1.3608876466751099,48.7145832356872,41.443055693338344,0.0,18.0,18,18.5,1,,246.7921207041073,255.0,0.0,255.0,294423.0,34.760523561467345,0.3687107536215105,3.825155556866445
ID48170,48170,0,1.352708339691162,48.429174486458734,42.78638711616237,0.0,17.0,17,18.5,1,,250.27158424140822,255.0,0.0,255.0,298574.0,24.805721741747575,0.35220441002764175,5.2558397151977125
ID48171,48171,0,1.3922054767608643,50.514891808924624,41.11413565932053,0.0,20.0,20,18.5,1,,248.99245599329421,255.0,0.0,255.0,297048.0,30.624004327107887,0.3782039287151128,4.462382148019616
ID48172,48172,0,1.4163776636123657,51.88285325861515,40.41191883213366,0.0,21.0,21,18.5,1,,250.15088013411568,255.0,0.0,255.0,298430.0,27.178518115593167,0.39674834086814925,5.228814231091452
ID48173,48173,0,1.3909168243408203,49.40856955429313,39.779757773023036,0.0,22.0,22,18.5,1,,250.64040234702432,255.0,36.0,255.0,299014.0,22.817350571140636,0.3787958443179513,6.035609030808566
ID48174,48174,0,1.3834640979766846,47.83832010625093,37.210648435685094,0.0,23.0,23,18.5,1,,251.09807208717518,255.0,0.0,255.0,299560.0,21.931244099606168,0.3938783392633581,6.470641429230947
