LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID47116,47116,0,3.085587739944458,95.63856273789727,69.23231497627167,0.0,2.0,2,15.0,1,,237.26034712950602,255.0,0.0,255.0,177708.0,54.72691357945244,0.943906797032465,4.210249919514057
ID47117,47117,0,3.082181692123413,95.70319045860496,71.51195869025847,0.0,3.0,3,15.0,1,,237.43257676902536,255.0,0.0,255.0,177837.0,54.08146268162967,0.9365771615640515,4.246495125882122
ID47118,47118,0,3.1092114448547363,93.84381966683321,71.88797127221264,0.0,1.0,1,15.0,1,,239.8064085447263,255.0,0.0,255.0,179615.0,51.11930222997822,0.9419413482288516,4.550861473882837
ID47119,47119,0,2.928781509399414,95.9239856105843,74.22261036570886,0.0,4.0,4,15.0,1,,233.69292389853138,255.0,0.0,255.0,175036.0,59.20725598346798,0.9360504826966285,3.8166577598620264
ID47120,47120,0,2.959252119064331,95.44236920196353,79.08281756163258,0.0,8.0,8,15.0,1,,236.49265687583446,255.0,0.0,255.0,177133.0,56.38434295527769,0.9289996348097241,4.039917811970665
ID47121,47121,0,2.922407865524292,96.6475846654041,78.43808813020003,0.0,6.0,6,15.0,1,,236.39786381842455,255.0,0.0,255.0,177062.0,58.3095583447622,0.9401983155621715,3.929227157362639
ID47122,47122,0,3.0746612548828125,99.02364866245578,75.65582179462142,0.0,5.0,5,15.0,1,,235.23097463284378,255.0,0.0,255.0,176188.0,56.563922495345196,0.9485295087929964,4.048823493244371
ID47123,47123,0,2.9252490997314453,95.35686829858989,79.1433553785271,0.0,7.0,7,15.0,1,,233.8558077436582,255.0,0.0,255.0,175158.0,60.276262690207076,0.927989342202663,3.7348244937834805
ID47124,47124,0,2.9559102058410645,95.31775345485407,76.01843125592073,0.0,9.0,9,15.0,1,,236.2429906542056,255.0,0.0,255.0,176946.0,55.16724421089632,0.9376286873683729,4.144460149678834
ID47125,47125,0,3.132796049118042,95.3114892664571,70.62382603343373,0.0,0.0,0,15.0,1,,241.24699599465956,255.0,0.0,255.0,180694.0,49.10619979129401,0.9285369596400898,4.73071529720163
ID47126,47126,0,3.031458616256714,93.19918163907127,75.06219078435429,0.0,10.0,10,15.0,1,,233.9479305740988,255.0,0.0,255.0,175227.0,59.44119200134281,0.9454634915266934,3.8254574159747685
ID47127,47127,0,3.049330234527588,92.96364207113723,77.51589159577311,0.0,11.0,11,15.0,1,,234.5340453938585,255.0,0.0,255.0,175666.0,60.97220789960885,0.9463042843840355,3.740451571376785
ID47128,47128,0,3.206122636795044,96.98056957156379,76.83986895803896,0.0,13.0,13,15.0,1,,236.7543391188251,255.0,0.0,255.0,177329.0,54.95078982754356,0.9674062826696193,4.237101361459367
ID47129,47129,0,3.28253173828125,101.29318728207393,75.8408519409048,0.0,16.0,16,15.0,1,,237.25767690253673,255.0,0.0,255.0,177706.0,56.59525674506535,0.9592399685510857,4.104968882076575
ID47130,47130,0,3.0623981952667236,94.34881443610018,76.2044561789986,0.0,12.0,12,15.0,1,,233.09078771695593,255.0,0.0,255.0,174585.0,61.209159978614814,0.9571062240527677,3.7246410738682205
ID47131,47131,0,3.068774700164795,97.9001168506805,75.46937518366578,0.0,14.0,14,15.0,1,,236.1562082777036,255.0,0.0,255.0,176881.0,56.169204881743646,0.9517824398027829,4.100505211948851
ID47132,47132,0,3.0854687690734863,100.16424188457495,76.62173975733269,0.0,15.0,15,15.0,1,,233.52469959946595,255.0,0.0,255.0,174910.0,59.14349441734744,0.9545706453474911,3.8566705361906264
ID47133,47133,0,3.261073112487793,105.16475867131179,70.67854340288021,0.0,20.0,20,15.0,1,,236.57142857142858,255.0,0.0,255.0,177192.0,58.273780215951454,0.9586559723362423,3.9739620692120767
ID47134,47134,0,3.1342806816101074,103.8364791402317,75.0727191320868,0.0,17.0,17,15.0,1,,237.60480640854473,255.0,0.0,255.0,177966.0,53.93768714465424,0.9539227156226601,4.301289819271692
ID47135,47135,0,3.0763461589813232,107.26629400358577,72.84916607648093,0.0,18.0,18,15.0,1,,236.7463284379172,255.0,0.0,255.0,177323.0,55.93574190501287,0.9481689623253111,4.11986476313508
ID47136,47136,0,3.1256444454193115,105.92600054201436,74.34243787913697,0.0,19.0,19,15.0,1,,238.69826435246995,255.0,0.0,255.0,178785.0,53.126549146882574,0.9481409521462566,4.373409852030881
ID47137,47137,0,3.248169422149658,103.3437978204404,67.75547581677992,0.0,23.0,23,15.0,1,,229.935914552737,255.0,0.0,255.0,172222.0,68.18136912765164,0.9767877629282565,3.3328153637879825
ID47138,47138,0,3.2868900299072266,105.90915885347275,69.7534352051961,0.0,24.0,24,15.0,1,,219.72363150867824,255.0,0.0,255.0,164573.0,80.53751402548018,0.9905207803653193,2.7152224713955073
ID47139,47139,0,3.3019533157348633,107.84239461957465,69.73455840428012,0.0,26.0,26,15.0,1,,220.65554072096128,255.0,0.0,255.0,165271.0,80.44248559464394,0.989247360067186,2.728195328947498
ID47140,47140,0,3.3021953105926514,105.1851632307633,71.88504295159815,0.0,21.0,21,15.0,1,,233.07076101468624,255.0,0.0,255.0,174570.0,65.2717401820936,0.969574208363842,3.5156149633679252
