LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID11861,11861,0,7.072124481201172,88.28231841384194,120.74839939934776,0.0,2.0,2,10.0,1,,246.81661891117477,255.0,153.0,255.0,86139.0,24.301522090019514,0.8268015465834697,9.193498895828084
ID11862,11862,0,7.042813301086426,87.8297700724107,124.88883775313035,0.0,4.0,4,10.0,1,,244.6246418338109,255.0,51.0,255.0,85374.0,31.71260256034038,0.8191294537769512,6.946839265494198
ID11863,11863,0,6.989583969116211,93.93821304333542,126.44498622197696,0.0,5.0,5,10.0,1,,236.73352435530086,255.0,51.0,255.0,82620.0,46.25274821797794,0.8327144851368528,4.651076939396746
ID11864,11864,0,7.130064487457275,91.22880775374063,128.1888012421268,0.0,9.0,9,10.0,1,,216.567335243553,255.0,0.0,255.0,75582.0,71.95931296956033,0.905393316732952,2.8601485298007527
ID11865,11865,0,7.076486587524414,89.80428860496083,122.33408287989499,0.0,1.0,1,10.0,1,,247.40114613180515,255.0,102.0,255.0,86343.0,24.491133719501697,0.8268299685277374,9.144098491633486
ID11866,11866,0,6.87466287612915,90.24788145055462,126.40575024098602,0.0,0.0,0,10.0,1,,247.54727793696276,255.0,102.0,255.0,86394.0,24.383341184899017,0.7775511504876028,8.881816508741482
ID11867,11867,0,7.012737274169922,91.82817083241723,133.2937329001465,0.0,7.0,7,10.0,1,,221.53581661891118,255.0,0.0,255.0,77316.0,71.01474677459974,0.865472713525374,2.8946088290210894
ID11868,11868,0,7.088172435760498,92.60408163143983,130.33809692998673,0.0,6.0,6,10.0,1,,235.8567335243553,255.0,51.0,255.0,82314.0,47.3387412932629,0.8542715132863714,4.590755542056849
ID11869,11869,0,7.009322166442871,91.59769638436559,133.25861563122126,0.0,8.0,8,10.0,1,,235.12607449856733,255.0,51.0,255.0,82059.0,46.31521350566014,0.8449137098380339,4.649897905172874
ID11870,11870,0,6.521978378295898,90.42243197107821,125.13503325395838,0.0,3.0,3,10.0,1,,241.40974212034385,255.0,51.0,255.0,84252.0,38.29567391299606,0.709550578433313,5.232828186668203
ID11871,11871,0,7.056201934814453,92.96800828226543,127.24818175674206,0.0,10.0,10,10.0,1,,224.02005730659025,255.0,0.0,255.0,78183.0,66.47454053302722,0.8894402467003092,3.172818072610237
ID11872,11872,0,7.088428974151611,92.17224184927905,129.90774106780628,0.0,12.0,12,10.0,1,,205.8997134670487,255.0,0.0,255.0,71859.0,84.19820434463043,0.9350352538713075,2.363317180140423
ID11873,11873,0,6.879042625427246,99.18529716319277,115.99799201709978,0.0,16.0,16,10.0,1,,200.054441260745,255.0,0.0,255.0,69819.0,85.97242884718976,0.9147256450763561,2.223326771961686
ID11874,11874,0,6.918785572052002,102.085116606518,124.03643820882488,0.0,17.0,17,10.0,1,,195.81661891117477,255.0,0.0,255.0,68340.0,88.12341567191342,0.9249971694187609,2.135494855754489
ID11875,11875,0,6.828845977783203,98.70139529069253,123.62523248342792,0.0,15.0,15,10.0,1,,205.60744985673352,255.0,0.0,255.0,71757.0,81.31433298587591,0.8696277479967873,2.352231069673366
ID11876,11876,0,7.163776397705078,96.71471165488828,121.23645672783684,0.0,14.0,14,10.0,1,,215.98280802292263,255.0,0.0,255.0,75378.0,69.63277849919326,0.9375289559027923,3.001732188579226
ID11877,11877,0,7.197546005249023,92.07446631496485,122.49082436815283,0.0,13.0,13,10.0,1,,204.2922636103152,255.0,0.0,255.0,71298.0,80.26594067896896,0.9650307263614469,2.499898708521782
ID11878,11878,0,6.932123184204102,93.41259700217209,128.5684231075785,0.0,11.0,11,10.0,1,,210.5759312320917,255.0,0.0,255.0,73491.0,79.00875183994265,0.8793535563045545,2.4941269714289174
ID11879,11879,0,6.938449859619141,99.82285773730163,120.24781998336302,0.0,18.0,18,10.0,1,,202.53868194842406,255.0,0.0,255.0,70686.0,83.71738046851787,0.9028253135523248,2.2957635245971852
ID11880,11880,0,7.086254119873047,89.8130124008343,113.6237812993108,0.0,20.0,20,10.0,1,,216.42120343839542,255.0,0.0,255.0,75531.0,75.87696262481923,0.8925351993410469,2.6903033509820298
ID11881,11881,0,6.945853233337402,93.09378037932221,115.48697610025403,0.0,19.0,19,10.0,1,,194.06303724928367,255.0,0.0,255.0,67728.0,91.60564238100125,0.9297341065762118,2.0413237364931716
ID11882,11882,0,7.085302352905273,88.08243265571105,117.41414423969837,0.0,25.0,25,10.0,1,,201.22349570200572,255.0,0.0,255.0,70227.0,84.96917235658644,0.9503694560264848,2.307931315975609
ID11883,11883,0,7.098581314086914,90.40410868463644,114.65813399334537,0.0,22.0,22,10.0,1,,209.11461318051576,255.0,0.0,255.0,72981.0,81.44459747739641,0.9223325719672983,2.463832153575126
ID11884,11884,0,7.096338748931885,88.22820195109642,121.6715288377194,0.0,24.0,24,10.0,1,,217.0057306590258,255.0,0.0,255.0,75735.0,72.65680602199666,0.9102996362311924,2.846477610924271
ID11885,11885,0,7.158982753753662,88.6091087171012,120.09947392907684,0.0,27.0,27,10.0,1,,217.88252148997134,255.0,0.0,255.0,76041.0,68.79083287674791,0.9188296585728907,3.0333351886283557
ID11886,11886,0,7.066953182220459,91.47853604655619,121.65540479974435,0.0,26.0,26,10.0,1,,222.41260744985672,255.0,0.0,255.0,77622.0,62.85027328571988,0.8833626435200053,3.3196118355100137
